Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,9.487224867234787,10.0,,0,0,0;6
1,59.48722486723479,10.0,,0,0,5;11
2,34.48722486723479,20.0,,0,0,8;9;12
3,34.4872248672348,10.0,,0,0,2;3;12;15;18
4,17.2997248672348,10.000000000000018,,0,0,0;1;13
5,17.2997248672348,13.12500000000002,,0,0,6;7;13;16
6,51.674724867234815,10.000000000000018,,0,0,4;5;14
7,51.674724867234815,13.12500000000002,,0,0,10;11;14;19
8,25.112224867234815,16.249999999999996,,0,0,7;8;15;17
9,21.987224867234758,10.000000000000005,,0,0,1;2;16;17
10,43.862224867234794,16.249999999999993,,0,0,9;10;18;20
11,46.987224867234865,10.00000000000001,,0,0,3;4;19;20
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,4,W Shapes:W12X26,Steel ASTM A992
1,4,9,W Shapes:W12X26,Steel ASTM A992
2,9,3,W Shapes:W12X26,Steel ASTM A992
3,3,11,W Shapes:W12X26,Steel ASTM A992
4,11,6,W Shapes:W12X26,Steel ASTM A992
5,6,1,W Shapes:W12X26,Steel ASTM A992
6,0,5,W Shapes:W12X26,Steel ASTM A992
7,5,8,W Shapes:W12X26,Steel ASTM A992
8,8,2,W Shapes:W12X26,Steel ASTM A992
9,2,10,W Shapes:W12X26,Steel ASTM A992
10,10,7,W Shapes:W12X26,Steel ASTM A992
11,7,1,W Shapes:W12X26,Steel ASTM A992
12,3,2,W Shapes:W12X26,Steel ASTM A992
13,4,5,W Shapes:W12X26,Steel ASTM A992
14,6,7,W Shapes:W12X26,Steel ASTM A992
15,8,3,W Shapes:W12X26,Steel ASTM A992
16,5,9,W Shapes:W12X26,Steel ASTM A992
17,9,8,W Shapes:W12X26,Steel ASTM A992
18,3,10,W Shapes:W12X26,Steel ASTM A992
19,11,7,W Shapes:W12X26,Steel ASTM A992
20,10,11,W Shapes:W12X26,Steel ASTM A992
